MEDIA_TY,TITLE_NM,PLACE_NM,PLACE_TY,ADDR,LC_LA,LC_LO,ADDR_area
drama,(아는 건 별로 없지만) 가족입니다,커피파머,cafe,경기도 고양시 일산서구 대화로 61,37.667523,126.72817,경기
drama,(아는 건 별로 없지만) 가족입니다,셀렉토커피 남양주호평점,cafe,경기도 남양주시 천마산로 21,37.663558,127.24748,경기
drama,(아는 건 별로 없지만) 가족입니다,카페 그루비,cafe,경기도 수원시 영통구 센트럴파크로127번길 148,37.293983,127.05538,경기
drama,(아는 건 별로 없지만) 가족입니다,미리내 성지,playground,경기도 안성시 양성면 미리내성지로 420,37.146102,127.25865,경기
drama,(아는 건 별로 없지만) 가족입니다,초은당,playground,경기도 양평군 서종면 북한강로814번길 46-6,37.611484,127.35397,경기
drama,(아는 건 별로 없지만) 가족입니다,임진각평화누리,playground,경기도 파주시 문산읍 마정리 1355,37.892963,126.74435,경기
drama,(아는 건 별로 없지만) 가족입니다,지혜의 숲,playground,경기도 파주시 회동길 145,37.7082492,126.686674,경기
drama,(아는 건 별로 없지만) 가족입니다,카페 종이와 나무,cafe,경기도 파주시 회동길 445-1,37.720328,126.69388,경기
drama,(아는 건 별로 없지만) 가족입니다,퀸즈파크 청담점,restaurant,서울특별시 강남구 압구정로60길 22,37.52592,127.04159,서울
drama,(아는 건 별로 없지만) 가족입니다,혜심정,restaurant,서울특별시 강북구 삼양로181길 178,37.67139,127.00698,서울
drama,(아는 건 별로 없지만) 가족입니다,가든포에트,restaurant,서울특별시 마포구 와우산로14길 12,37.55016,126.9237,서울
drama,(아는 건 별로 없지만) 가족입니다,구룡근린공원,playground,서울특별시 마포구 월드컵북로 456,37.582996,126.88385,서울
drama,(아는 건 별로 없지만) 가족입니다,월드컵공원,playground,서울특별시 마포구 하늘공원로 86,37.5708905,126.878429,서울
drama,(아는 건 별로 없지만) 가족입니다,소월로 계단 3번,playground,서울특별시 용산구 소월로 168,37.547514,126.98424,서울
drama,(아는 건 별로 없지만) 가족입니다,대학로11길,playground,서울특별시 종로구 대학로11길 13,37.582193,127.00092,서울
drama,(아는 건 별로 없지만) 가족입니다,커피한약방 혜화점,cafe,서울특별시 종로구 동숭2길 9,37.580861,127.0048,서울
drama,(아는 건 별로 없지만) 가족입니다,포시즌스호텔,stay,서울특별시 종로구 새문안로 97,37.57065,126.9754,서울
drama,(아는 건 별로 없지만) 가족입니다,푸른기린주차장,playground,서울특별시 종로구 화동 58-1,37.581775,126.981418,서울
drama,(아는 건 별로 없지만) 가족입니다,이비스 스타일 앰배서더 명동,stay,서울특별시 중구 삼일대로 302,37.56169,126.9894,서울
drama,(아는 건 별로 없지만) 가족입니다,덕수궁 돌담길,playground,서울특별시 중구 세종대로 99,37.565924,126.97501,서울
drama,(아는 건 별로 없지만) 가족입니다,목남갤러리카페,cafe,서울특별시 중구 퇴계로68길 16,37.563753,127.00979,서울
drama,(아는 건 별로 없지만) 가족입니다,그랜드 하얏트 인천,stay,인천광역시 중구 영종해안남로321번길 208,37.440449,126.45747,인천
drama,(아는 건 별로 없지만) 가족입니다,고흥우주발사전망대,playground,전라남도 고흥군 영남면 해맞이로 840,34.585051,127.49236,전라
drama,(아는 건 별로 없지만) 가족입니다,파도리해수욕장,playground,충청남도 태안군 소원면 파도길 63-12,36.738979,126.13356,충청
drama,#좋맛탱: 좋은 맛에 취하다,카우카우펍 합정점,restaurant,서울특별시 마포구 독막로 10,37.548497,126.914483,서울
drama,#좋맛탱: 좋은 맛에 취하다,데코아발림 본점,cafe,서울특별시 마포구 독막로15길 13-6,37.548376,126.92179,서울
drama,#좋맛탱: 좋은 맛에 취하다,정항우케익 서울연남점,cafe,서울특별시 마포구 동교로29길 48,37.56249,126.92278,서울
drama,#좋맛탱: 좋은 맛에 취하다,공간비틀즈,restaurant,서울특별시 마포구 와우산로29길 27 B1,37.555019,126.92838,서울
drama,#좋맛탱: 좋은 맛에 취하다,율곡로3길,playground,서울특별시 종로구 율곡로3길,37.577811,126.98239,서울
drama,1%의 어떤것,사천진해수욕장,playground,강원도 강릉시 사천면 사천진리 266-2,37.842094,128.874568,강원
drama,1%의 어떤것,보헤미안박이추커피,cafe,강원도 강릉시 사천면 해안로 1107,37.846843,128.86688,강원
drama,1%의 어떤것,인터컨티넨탈 알펜시아 평창 리조트,stay,강원도 평창군 대관령면 솔봉로 325,37.658254,128.66975,강원
drama,1%의 어떤것,라꼼마빌딩,playground,서울특별시 마포구 어울마당로 44-1,37.548951,126.92088,서울
drama,17세의 조건,서울역,station,서울특별시 용산구 한강대로 405,37.554719,126.97065,서울
drama,18 어게인,소토보체,stay,강원도 홍천군 화촌면 군업안말길 153-15,37.74281,128.00877,강원
drama,18 어게인,오페라 디바스,restaurant,경기도 고양시 덕양구 행주산성로 141,37.59965,126.81624,경기
drama,18 어게인,서울대공원,playground,경기도 과천시 대공원광장로 102,37.427542,127.01701,경기
drama,18 어게인,모로미쿠시 광교카페거리점,restaurant,경기도 수원시 영통구 센트럴파크로127번길 48,37.294673,127.05381,경기
