"Community_KEY_W","Freq"
"kpop",20892
"bts",4872
"youtube",4193
"music",1254
"fans",914
"amp",861
"got7",795
"song",652
"artist",567
"exo",564
"fan",497
"songs",418
"korean",386
"idol",365
"artists",352
"idols",341
"twitter",312
"blackpink",233
"jam",206
"scandal",190
"allkpop",187
"saya",166
"album",138
"twice",114
"fandom",80
"nct",78
"itunes",69
"korea",66
"mbc",63
"pop",56
"albums",55
"billboard",40
"netflix",40
"SNSD",32
"drama",32
"mtv",31
"shinee",28
"award",27
"astro",23
"chart",23
"awards",21
"fancam",19
"jyp",18
"bigbang",17
"fanmeeting",17
"mama",17
"fandoms",16
"comeback",15
"gangnam",15
"seventeen",15
"melon",14
"mutuals",13
"kpo",12
"cnblue",10
"bangtan",8
"ikon",8
"btob",6
"incheon",6
"ivy",6
"mnet",6
"psy",6
"izone",5
"kcon",5
"tvxq",5
"ailee",4
"clc",4
"dreamconcert",4
"kbeauty",4
"kchart",4
"mamamoo",4
"vixx",4
"asmr",3
"bighitent",3
"energetic",3
"itzy",3
"rappers",3
"billboards",2
"joohyuk",2
"redvelvet",2
"sons",2
"zico",2
"jtbc",1
