FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,HOTEL_GRAD_NO,TEL_NO,HMPG_URL,TRRSRT_ONE_NM,TRRSRT_TWO_NM,TRRSRT_THREE_NM,BASE_DE
E호텔,서울특별시 서초구 반포대로18길 40 E 호텔,11,11650,127.0126078,37.48697203,서울,3,02-521-6555,http://www.e-hotel.kr/,명동성당,남대문시장,청계천,2021-12-31
JS호텔분당,경기도 성남시 분당구 황새울로311번길 36,41,41135,127.1212276,37.38653939,경기,3,1877-8006,http://www.jshotelbundang.com/,분당서현역,성남아트센터,판교테크노밸리,2021-12-31
나인트리프리미어호텔명동2,서울특별시 중구 마른내로 28,11,11140,126.9908189,37.56433686,서울,4,02-6967-0999,http://www.ninetreehotels.com/nth2/,명동성당,청계천,남대문시장,2021-12-31
나인트리호텔명동,서울특별시 종로구 인사동길 49,11,11110,126.9835525,37.57446681,서울,3,02-750-0999,https://ninetreehotel.com/,동대문시장,명동성당,청계천,2021-12-31
라마다서울동대문,서울특별시 중구 동호로 354,11,11140,127.0028004,37.56589985,서울,3,02-2276-3500,http://www.ramadaddm.com/main/,롯데몰 김포공항,김포 국제공항,김포대교,2021-12-31
라마다앙코르서울마곡,서울특별시 강서구 마곡중앙로 161-11 힐스테이트에코마곡나루역라마다앙코르서울특별시,11,11500,126.8267215,37.56797554,서울,3,02-2161-9000,http://www.ramadaencore-seoulmagok.com/,서울 코엑스 컨벤션 센터,가로수길,롯데월드,2021-12-31
라마다앙코르제주서귀포,제주특별자치도 서귀포시 서호중로 55,50,50130,126.519265,33.25447711,제주,4,064-735-2000,https://www.ramadaencorejejuseogwipo.com/,동북아무역타워,송도컨벤시아,송도 인천타워,2021-12-31
라마다제주서귀포호텔,제주특별자치도 서귀포시 서호중로 65,50,50130,126.5200734,33.25436515,제주,4,064-729-8100,http://www.ramadajeju.co.kr/,월미테마파크,차이나타운,인천 축구 전용경기장,2021-12-31
라비타호텔,서울특별시 강남구 영동대로 712,11,11680,127.0568837,37.5214138,서울,2,02-545-0015,,롯데월드,올림픽경기장,잠실종합운동장,2021-12-31
레지던스 강남,서울특별시 강남구 학동로4길 15,11,11680,127.0235364,37.51051503,서울,,02-3485-3100,,가로수길,남부버스터미널역,예술의전당,2021-12-31
로사나부띠크호텔,서울특별시 송파구 삼학사로 98 로사나관광호텔,11,11710,127.0975344,37.50601088,서울,3,02-2143-3000,http://www.rosanahotel.co.kr/,서울 코엑스 컨벤션 센터,가로수길,롯데월드,2021-12-31
로얄엠포리움호텔,인천광역시 중구 중산동 1951-5,28,28110,126.578421,37.49179203,인천,4,032-752-5996,http://www.royalemporium.co.kr/,동대문시장,명동성당,창덕궁,2021-12-31
